Close,High,Low,Open,dt
201,201.03,198.59,200.49,1/4/2016
201.42,201.9,200.05,201.4,1/5/2016
198.79,200.06,197.6,198.34,1/6/2016
194.04,197.44,193.59,195.33,1/7/2016
191.9,195.85,191.58,195.19,1/8/2016
192.06,193.41,189.82,193.01,1/11/2016
193.64,194.55,191.14,193.82,1/12/2016
188.84,194.86,188.38,194.45,1/13/2016
191.89,193.26,187.66,189.55,1/14/2016
187.79,188.76,185.52,186.77,1/15/2016
187.99,190.11,186.2,189.96,1/19/2016
185.79,187.5,181.02,185.03,1/20/2016
186.69,188.87,184.64,186.21,1/21/2016
190.49,190.76,188.88,189.78,1/22/2016
187.66,190.15,187.41,189.92,1/25/2016
190.19,190.53,188.02,188.42,1/26/2016
188.14,191.56,187.06,189.58,1/27/2016
189.14,190.2,187.16,189.96,1/28/2016
193.69,193.75,189.88,190.02,1/29/2016
193.69,194.58,191.84,192.53,2/1/2016
190.13,191.97,189.54,191.96,2/2/2016
191.19,191.78,187.1,191.41,2/3/2016
191.55,192.75,189.96,190.71,2/4/2016
187.95,191.08,187.2,190.99,2/5/2016
185.37,186.12,182.8,185.77,2/8/2016
185.38,186.94,183.2,183.37,2/9/2016
185.29,188.34,185.12,186.41,2/10/2016
183.06,184.1,181.09,182.34,2/11/2016
186.64,186.65,183.96,184.98,2/12/2016
189.77,189.78,187.63,188.77,2/16/2016
192.87,193.32,191.01,191.16,2/17/2016
192.04,193.27,191.72,193.2,2/18/2016
192.02,192.18,190.45,191.17,2/19/2016
194.79,194.95,193.79,193.87,2/22/2016
192.37,194.32,192.18,194,2/23/2016
193.22,193.53,189.32,190.63,2/24/2016
195.53,195.54,192.83,193.73,2/25/2016
195.13,196.68,194.9,196.57,2/26/2016
193.48,196.23,193.44,195.1,2/29/2016
198.18,198.18,194.45,195.01,3/1/2016
199,199.06,197.25,197.74,3/2/2016
199.76,199.79,198.11,198.79,3/3/2016
200.38,201.35,199.03,200.01,3/4/2016
200.59,201.07,199.25,199.34,3/7/2016
198.36,199.92,198.21,199.32,3/8/2016
199.42,199.79,198.43,199.36,3/9/2016
199.54,201.07,197.38,199.96,3/10/2016
202.73,202.81,201.12,201.26,3/11/2016
202.5,203.04,201.77,202.16,3/14/2016
202.18,202.2,201.05,201.36,3/15/2016
203.4,203.82,201.55,201.6,3/16/2016
204.65,205.23,202.77,203.24,3/17/2016
204.44,204.78,203.8,204.17,3/18/2016
204.68,204.94,203.8,204.07,3/21/2016
204.59,205.23,203.57,203.76,3/22/2016
203.24,204.33,203.01,204.11,3/23/2016
203.14,203.16,201.74,202,3/24/2016
203.26,203.86,202.71,203.61,3/28/2016
205.15,205.21,202.4,202.76,3/29/2016
206.07,206.87,205.59,206.29,3/30/2016
205.55,206.41,205.33,205.91,3/31/2016
206.89,207.14,203.98,204.34,4/1/2016
206.27,207.07,205.89,206.83,4/4/2016
204.19,205.26,203.89,204.67,4/5/2016
206.43,206.49,203.98,204.29,4/6/2016
203.94,205.56,203.09,205.14,4/7/2016
204.53,205.85,203.87,205.34,4/8/2016
203.98,206.07,203.91,205.25,4/11/2016
205.94,206.25,203.7,204.22,4/12/2016
208.02,208.1,206.84,207,4/13/2016
208.01,208.6,207.6,208.06,4/14/2016
207.81,208.11,207.4,208.01,4/15/2016
209.28,209.28,207,207.13,4/18/2016
209.87,210.2,208.94,209.74,4/19/2016
210.06,210.92,209.39,209.95,4/20/2016
208.96,210.25,208.65,210.12,4/21/2016
208.99,209.29,207.91,208.56,4/22/2016
208.61,208.62,207.54,208.26,4/25/2016
208.97,209.52,208.36,209.04,4/26/2016
209.34,209.81,208.05,208.47,4/27/2016
207.48,209.76,206.96,208.45,4/28/2016
206.33,207.13,205.03,206.72,4/29/2016
207.97,208.18,206.41,206.92,5/2/2016
206.15,206.8,205.28,206.52,5/3/2016
204.99,205.85,204.42,204.99,5/4/2016
204.98,205.98,204.47,205.56,5/5/2016
205.7,205.77,203.88,204.06,5/6/2016
205.89,206.4,205.36,205.57,5/9/2016
208.43,208.46,206.64,206.72,5/10/2016
206.56,208.54,206.5,207.91,5/11/2016
206.56,207.49,205.37,207.29,5/12/2016
204.76,206.86,204.38,206.21,5/13/2016
206.78,207.34,204.89,204.96,5/16/2016
204.88,206.8,204.23,206.46,5/17/2016
204.96,206.3,203.63,204.44,5/18/2016
204.22,204.54,202.78,204.06,5/19/2016
205.46,206.1,204.86,204.92,5/20/2016
205.15,205.84,204.99,205.5,5/23/2016
207.85,208.24,206.14,206.17,5/24/2016
209.22,209.77,208.62,208.67,5/25/2016
209.33,209.71,208.97,209.44,5/26/2016
210.2,210.21,209.47,209.53,5/27/2016
209.9,210.69,209.18,210.55,5/31/2016
210.27,210.48,208.89,209.12,6/1/2016
210.91,210.91,209.24,209.8,6/2/2016
210.3,210.69,208.86,210.25,6/3/2016
211.35,211.77,210.51,210.69,6/6/2016
211.67,212.34,211.5,211.53,6/7/2016
212.34,212.52,211.69,211.83,6/8/2016
212.01,212.22,211.19,211.51,6/9/2016
210.06,210.86,209.43,210.46,6/10/2016
208.44,210.37,208.35,209.36,6/13/2016
208.08,208.74,206.92,208,6/14/2016
207.75,209.36,207.53,208.54,6/15/2016
208.42,208.57,205.59,206.73,6/16/2016
206.58,207.2,205.75,207.17,6/17/2016
207.86,209.61,207.75,208.82,6/20/2016
208.39,208.92,207.78,208.29,6/21/2016
208.05,209.5,207.93,208.65,6/22/2016
210.83,210.85,209.27,209.81,6/23/2016
203.22,206.91,202.72,203.62,6/24/2016
199.59,201.6,198.65,201.59,6/27/2016
203.17,203.2,201.12,201.48,6/28/2016
206.67,206.93,204.72,204.82,6/29/2016
209.5,209.54,206.56,207.21,6/30/2016
209.83,210.49,209.29,209.36,7/1/2016
208.43,209.08,207.71,208.96,7/5/2016
209.75,209.8,207.06,207.83,7/6/2016
209.53,210.65,208.63,209.87,7/7/2016
212.65,212.94,210.78,211.05,7/8/2016
213.41,214.07,212.95,213.19,7/11/2016
214.94,215.3,214.25,214.52,7/12/2016
214.92,215.45,214.35,215.44,7/13/2016
216.07,216.67,215.66,216.4,7/14/2016
215.81,216.82,215.31,216.78,7/15/2016
216.4,216.6,215.67,215.97,7/18/2016
216.15,216.23,215.63,215.92,7/19/2016
217.09,217.37,216.24,216.75,7/20/2016
216.25,217.22,215.75,216.94,7/21/2016
217.23,217.3,216.1,216.41,7/22/2016
216.67,217.06,215.97,217,7/25/2016
216.73,217.17,215.76,216.53,7/26/2016
216.53,217.27,215.62,217.19,7/27/2016
216.78,217.11,215.75,216.29,7/28/2016
217.14,217.54,216.13,216.46,7/29/2016
216.89,217.65,216.405,217.19,8/1/2016
215.55,216.83,214.57,216.65,8/2/2016
216.21,216.245,215.13,215.48,8/3/2016
216.41,216.78,214.25,216.31,8/4/2016
218.17,218.23,217.07,217.21,8/5/2016
218.03,218.52,217.74,218.4,8/8/2016
218.17,218.76,217.8,218.13,8/9/2016
217.64,218.4038,217.23,218.31,8/10/2016
218.65,218.94,217.95,218.26,8/11/2016
218.45,218.71,217.99,218.29,8/12/2016
219.125,219.5,218.88,218.89,8/15/2016
217.98,218.68,217.96,218.6,8/16/2016
218.37,218.53,217.02,218,8/17/2016
218.87,218.9,218.21,218.34,8/18/2016
218.57,218.75,217.74,218.31,8/19/2016
218.5,218.8,217.83,218.26,8/22/2016
218.94,219.6,218.9,219.25,8/23/2016
217.88,218.91,217.36,218.8,8/24/2016
217.63,218.19,217.22,217.4,8/25/2016
217.25,219.12,216.25,217.92,8/26/2016
218.36,218.665,217.4,217.44,8/29/2016
217.97,218.59,217.35,218.26,8/30/2016
217.39,217.75,216.465,217.61,8/31/2016
217.41,217.73,216.03,217.37,9/1/2016
